truck_id,truck_type,home_origin,default_capacity_tons,driver_rating,on_time_rate,cancel_rate,route_deviation_rate,verified_documents,gps_enabled
T10000,32FT,Delhi,15.76,4.304285714285714,0.8695714285714286,0.07514285714285715,0.022714285714285715,1,1
T10001,17FT,Pune,7.91,4.562857142857142,0.9065714285714286,0.06599999999999999,0.028999999999999998,0,1
T10002,32FT,Hyderabad,15.25,4.3914285714285715,0.9122857142857143,0.055285714285714285,0.02542857142857143,1,1
T10003,32FT,Delhi,16.54,4.251428571428571,0.8737142857142857,0.06442857142857142,0.026285714285714284,1,1
T10004,LCV,Mumbai,2.18,4.355714285714286,0.8747142857142858,0.054285714285714284,0.038571428571428576,1,0
T10005,Tata 407,Mumbai,3.19,4.307142857142857,0.8975714285714285,0.06771428571428571,0.025857142857142856,1,1
T10006,LCV,Bengaluru,3.18,4.39,0.8327142857142856,0.03214285714285715,0.030428571428571426,1,1
T10007,LCV,Kolkata,3.65,4.5600000000000005,0.8655714285714285,0.07857142857142856,0.04242857142857143,1,1
T10008,20FT,Hyderabad,7.77,4.3,0.8942857142857142,0.07528571428571429,0.04,0,1
T10009,LCV,Mumbai,3.66,4.14,0.891,0.054714285714285715,0.037571428571428575,1,1
T10010,32FT,Mumbai,16.96,4.475714285714285,0.8915714285714286,0.06885714285714285,0.03257142857142857,1,0
T10011,32FT,Mumbai,15.87,4.314285714285714,0.8225714285714286,0.061,0.016999999999999998,1,1
T10012,LCV,Kolkata,3.19,4.368571428571428,0.8171428571428571,0.04499999999999999,0.034428571428571426,1,1
T10013,40FT,Chennai,18.3,4.155714285714286,0.9154285714285715,0.08057142857142856,0.03471428571428571,1,1
T10014,20FT,Hyderabad,8.54,4.2457142857142856,0.9047142857142857,0.059428571428571435,0.03671428571428571,1,0
T10015,20FT,Jaipur,9.55,4.072857142857143,0.9057142857142857,0.028142857142857143,0.031857142857142855,1,1
T10016,32FT,Jaipur,17.78,4.305714285714286,0.8705714285714287,0.05342857142857143,0.021285714285714286,1,1
T10017,32FT,Bengaluru,15.33,4.261428571428572,0.8885714285714286,0.05928571428571429,0.016285714285714285,0,1
T10018,LCV,Jaipur,3.7,3.892857142857143,0.8140000000000001,0.024857142857142855,0.018714285714285715,1,1
T10019,40FT,Bengaluru,22.66,4.208571428571429,0.8702857142857143,0.04685714285714286,0.028,1,1
T10020,40FT,Jaipur,23.4,4.372857142857143,0.8547142857142856,0.03942857142857143,0.034999999999999996,1,1
T10021,Tata 407,Delhi,3.18,4.244285714285715,0.9528571428571428,0.05671428571428571,0.03942857142857143,1,1
T10022,Tata 407,Ahmedabad,3.61,4.478571428571429,0.8915714285714286,0.08557142857142856,0.02242857142857143,1,1
